,Season,TeamID,Seed
0,1985,1101,0
1,1985,1102,0
2,1985,1103,0
3,1985,1104,7
4,1985,1105,0
5,1985,1106,0
6,1985,1107,0
7,1985,1108,0
8,1985,1109,0
9,1985,1110,0
10,1985,1111,0
11,1985,1112,10
12,1985,1113,0
13,1985,1114,0
14,1985,1115,0
15,1985,1116,9
16,1985,1117,0
17,1985,1118,0
18,1985,1119,0
19,1985,1120,11
20,1985,1121,0
21,1985,1122,0
22,1985,1123,0
23,1985,1124,0
24,1985,1125,0
25,1985,1126,0
26,1985,1127,0
27,1985,1128,0
28,1985,1129,0
29,1985,1130,11
30,1985,1131,0
31,1985,1132,0
32,1985,1133,0
33,1985,1134,0
34,1985,1135,0
35,1985,1136,0
36,1985,1137,0
37,1985,1138,0
38,1985,1139,0
39,1985,1140,0
40,1985,1141,0
41,1985,1142,0
42,1985,1143,0
43,1985,1144,0
44,1985,1145,0
45,1985,1146,0
46,1985,1147,0
47,1985,1148,0
48,1985,1149,0
49,1985,1150,0
50,1985,1151,0
51,1985,1152,0
52,1985,1153,0
53,1985,1154,0
54,1985,1155,0
55,1985,1156,0
56,1985,1157,0
57,1985,1158,0
58,1985,1159,0
59,1985,1160,0
60,1985,1161,0
61,1985,1162,0
62,1985,1163,0
63,1985,1164,0
64,1985,1165,0
65,1985,1166,0
66,1985,1167,0
67,1985,1168,0
68,1985,1169,0
69,1985,1170,0
70,1985,1171,0
71,1985,1172,0
72,1985,1173,9
73,1985,1174,0
74,1985,1175,0
75,1985,1176,0
76,1985,1177,10
77,1985,1178,0
78,1985,1179,0
79,1985,1180,0
80,1985,1181,3
81,1985,1182,0
82,1985,1183,0
83,1985,1184,0
84,1985,1185,0
85,1985,1186,0
86,1985,1187,0
87,1985,1188,0
88,1985,1189,0
89,1985,1190,0
90,1985,1191,0
91,1985,1192,16
92,1985,1193,0
93,1985,1194,0
94,1985,1195,0
95,1985,1196,0
96,1985,1197,0
97,1985,1198,0
98,1985,1199,0
99,1985,1200,0
100,1985,1201,0
101,1985,1202,0
102,1985,1203,0
103,1985,1204,0
104,1985,1205,0
105,1985,1206,0
106,1985,1207,1
107,1985,1208,6
108,1985,1209,0
109,1985,1210,2
110,1985,1211,0
111,1985,1212,0
112,1985,1213,0
113,1985,1214,0
114,1985,1215,0
115,1985,1216,0
116,1985,1217,0
117,1985,1218,0
118,1985,1219,0
119,1985,1220,0
120,1985,1221,0
121,1985,1222,0
122,1985,1223,0
123,1985,1224,0
124,1985,1225,0
125,1985,1226,0
126,1985,1227,0
127,1985,1228,3
128,1985,1229,9
129,1985,1230,0
130,1985,1231,0
131,1985,1232,0
132,1985,1233,13
133,1985,1234,8
134,1985,1235,13
135,1985,1236,0
136,1985,1237,0
137,1985,1238,0
138,1985,1239,0
139,1985,1240,0
140,1985,1241,0
141,1985,1242,3
142,1985,1243,0
143,1985,1244,0
144,1985,1245,0
145,1985,1246,12
146,1985,1247,0
147,1985,1248,0
148,1985,1249,0
149,1985,1250,16
150,1985,1251,0
151,1985,1252,0
152,1985,1253,0
153,1985,1254,0
154,1985,1255,0
155,1985,1256,5
156,1985,1257,0
157,1985,1258,0
158,1985,1259,0
159,1985,1260,4
160,1985,1261,4
161,1985,1262,0
162,1985,1263,0
