Victoires_MM,TeamID,Season,Type_tournoi,Nombre_victoires,Nombre_défaites,Nombre_matchs,Pourcentage_Victoire,Buts_moyens_encaissés,Buts_moyens_marqués,Moyenne_diff_score,Pourcentage_V_terrain_adverse,Mental,Evolution_2_Last_years,Qualité_défense,Fools,Blocks,Steals,Ancienneté
2.0,1101,2014,Reg,2,19,21,0.09523809523809523,78.61904761904762,63.14285714285714,-15.476190476190474,0.06666666666666668,-0.2857142857142857,0.05,0.6191621514470729,4.190476190476192,0.3333333333333333,1.761904761904762,0
2.0,1101,2015,Reg,7,21,28,0.25,71.85714285714286,61.0,-10.857142857142858,0.125,-1.25,0.05,0.598149861239593,9.607142857142858,1.1071428571428572,3.0,1
2.0,1101,2016,Reg,9,18,27,0.3333333333333333,76.25925925925925,69.85185185185185,-6.407407407407407,0.25,-0.8333333333333331,0.2380952380952381,0.6849487785657998,15.370370370370367,1.9629629629629632,4.4444444444444455,2
2.0,1101,2017,Reg,9,16,25,0.36,72.64,67.88,-4.760000000000005,0.35294117647058826,-0.07058823529411729,0.11,0.6656133209990749,15.36,1.88,4.72,3
2.0,1101,2018,Reg,12,15,27,0.4444444444444444,72.81481481481481,70.66666666666667,-2.148148148148138,0.5555555555555556,1.1111111111111116,0.1111111111111111,0.6929386370644466,16.666666666666668,3.7037037037037037,5.074074074074074,4
1.0,1101,2019,Reg,23,6,29,0.7931034482758621,64.89655172413794,71.72413793103449,6.827586206896541,0.42857142857142855,-3.6453201970443363,0.4331034482758621,0.7033079205078312,29.27586206896552,4.517241379310343,10.137931034482758,5
1.0,1102,1985,Reg,5,19,24,0.2083333333333333,68.875,63.08333333333334,-5.791666666666664,0.18181818181818185,-0.2651515151515152,-0.2361111111111111,0.6185784767190873,0.0,0.0,0.0,0
1.0,1102,1986,Reg,6,19,25,0.24,65.68,58.56,-7.1200000000000045,0.2857142857142857,0.4571428571428571,-0.5531034482758621,0.5742238667900094,0.0,0.0,0.0,1
1.0,1102,1987,Reg,8,15,23,0.3478260869565217,75.08695652173913,71.0,-4.0869565217391255,0.1111111111111111,-2.3671497584541057,0.1394927536231884,0.6962072155411656,0.0,0.0,0.0,2
3.0,1102,1988,Reg,7,17,24,0.2916666666666667,73.54166666666667,64.25,-9.291666666666671,0.2857142857142857,-0.059523809523809874,0.05166666666666669,0.6300185013876041,0.0,0.0,0.0,3
1.0,1102,1989,Reg,10,14,24,0.4166666666666667,68.91666666666667,68.45833333333333,-0.4583333333333428,0.1111111111111111,-3.055555555555556,0.06884057971014496,0.6712843046561825,0.0,0.0,0.0,4
1.0,1102,1990,Reg,9,19,28,0.32142857142857145,69.28571428571429,63.714285714285715,-5.5714285714285765,0.09090909090909093,-2.3051948051948052,0.029761904761904767,0.6247654288357342,0.0,0.0,0.0,5
4.0,1102,1991,Reg,5,20,25,0.2,66.36,58.0,-8.36,0.09090909090909093,-1.0909090909090908,-0.21666666666666667,0.5687326549491212,0.0,0.0,0.0,6
2.0,1102,1992,Reg,5,20,25,0.2,69.56,60.88,-8.68,0.09090909090909093,-1.0909090909090908,-0.12142857142857146,0.5969731729879741,0.0,0.0,0.0,7
1.0,1102,1993,Reg,5,19,24,0.2083333333333333,71.70833333333333,62.20833333333334,-9.499999999999991,0.08333333333333333,-1.25,0.008333333333333331,0.6099984582176997,0.0,0.0,0.0,8
2.0,1102,1994,Reg,4,18,22,0.18181818181818185,75.86363636363636,67.18181818181819,-8.681818181818173,0.1,-0.8181818181818181,-0.018181818181818188,0.658767134807838,0.0,0.0,0.0,9
4.0,1102,1995,Reg,5,19,24,0.2083333333333333,74.375,65.375,-9.0,0.18181818181818185,-0.2651515151515152,0.0,0.6410499537465311,0.0,0.0,0.0,10
2.0,1102,1996,Reg,2,22,24,0.08333333333333333,75.91666666666667,65.25,-10.666666666666671,0.09090909090909093,0.07575757575757583,-0.0984848484848485,0.6398242368177613,0.0,0.0,0.0,11
6.0,1102,1997,Reg,4,18,22,0.18181818181818185,73.04545454545455,66.95454545454545,-6.0909090909090935,0.16666666666666666,-0.15151515151515166,-0.02651515151515152,0.6565385585737112,0.0,0.0,0.0,12
3.0,1102,1998,Reg,5,16,21,0.2380952380952381,70.85714285714286,62.76190476190475,-8.095238095238102,0.09090909090909093,-1.4718614718614718,0.15476190476190474,0.6154266331879653,0.0,0.0,0.0,13
1.0,1102,1999,Reg,7,16,23,0.3043478260869565,81.34782608695652,74.82608695652173,-6.521739130434781,0.18181818181818185,-1.225296442687747,0.12252964426877473,0.7337248119695934,0.0,0.0,0.0,14
5.0,1102,2000,Reg,6,20,26,0.2307692307692308,74.15384615384616,66.5,-7.65384615384616,0.2307692307692308,0.0,-0.0073260073260073,0.652081406105458,0.0,0.0,0.0,15
2.0,1102,2001,Reg,8,21,29,0.27586206896551724,63.03448275862069,57.48275862068966,-5.551724137931032,0.42105263157894735,1.451905626134301,-0.028485757121439307,0.5636607228300744,0.0,0.0,0.0,16
3.0,1102,2002,Reg,9,19,28,0.32142857142857145,61.5,57.32142857142857,-4.178571428571431,0.25,-0.7142857142857145,0.09065934065934067,0.5620787630500859,0.0,0.0,0.0,17
3.0,1102,2003,Reg,12,16,28,0.42857142857142855,57.0,57.25,0.25,0.375,-0.5357142857142855,0.1527093596059113,0.5613783533765033,15.571428571428573,1.6071428571428572,5.678571428571429,18
1.0,1102,2004,Reg,22,3,25,0.88,50.4,62.4,12.0,0.5454545454545454,-3.3454545454545457,0.5585714285714285,0.6118778908418132,31.0,3.48,10.56,19
2.0,1102,2005,Reg,17,11,28,0.6071428571428571,52.85714285714285,58.5,5.642857142857146,0.25,-3.571428571428571,0.17857142857142855,0.5736355226641998,19.607142857142858,2.142857142857143,8.571428571428571,20
3.0,1102,2006,Reg,22,12,34,0.6470588235294118,56.411764705882355,62.029411764705884,5.617647058823528,0.16666666666666666,-4.803921568627453,-0.2329411764705882,0.6082440006529902,19.647058823529417,3.0294117647058822,7.735294117647059,21
2.0,1102,2007,Reg,22,3,25,0.88,56.08,71.92,15.840000000000005,0.375,-5.05,0.2728571428571429,0.7052284921369103,29.56,4.2,9.6,22
3.0,1102,2008,Reg,14,11,25,0.56,59.68,63.16,3.479999999999997,0.2222222222222222,-3.3777777777777787,-0.08705882352941174,0.6193302497687326,20.44,2.48,6.72,23
1.0,1102,2009,Reg,8,8,16,0.5,60.6875,63.5625,2.875,0.25,-2.5,-0.38,0.623277058279371,17.9375,2.625,7.0,24
2.0,1102,2010,Reg,8,14,22,0.3636363636363637,60.54545454545455,58.04545454545455,-2.5,0.2307692307692308,-1.3286713286713288,-0.1963636363636364,0.5691783701959465,12.409090909090908,1.9090909090909087,3.954545454545455,25
1.0,1102,2011,Reg,14,21,35,0.4,63.11428571428571,60.171428571428564,-2.9428571428571435,0.09090909090909093,-3.0909090909090917,-0.09999999999999998,0.5900251090260341,13.657142857142857,2.5428571428571427,4.914285714285715,26
1.0,1102,2012,Reg,11,21,32,0.34375,61.625,55.40625,-6.21875,0.2222222222222222,-1.215277777777778,-0.019886363636363646,0.5432990286771509,11.625,1.9375,4.78125,27
1.0,1102,2013,Reg,15,14,29,0.5172413793103449,65.65517241379311,66.41379310344827,0.7586206896551602,0.2307692307692308,-2.864721485411141,0.11724137931034485,0.6512360840856167,17.03448275862069,2.689655172413793,6.517241379310343,28
1.0,1102,2014,Reg,10,16,26,0.38461538461538464,67.38461538461539,62.46153846153846,-4.923076923076927,0.2727272727272727,-1.1188811188811192,0.04086538461538464,0.6124813207144382,14.692307692307693,2.923076923076924,5.269230769230768,29
1.0,1102,2015,Reg,12,13,25,0.48,66.68,65.92,-0.7600000000000051,0.15384615384615385,-3.2615384615384615,-0.03724137931034488,0.6463940795559667,16.8,2.64,5.52,30
1.0,1102,2016,Reg,12,18,30,0.4,70.53333333333333,65.36666666666666,-5.166666666666671,0.4,0.0,0.015384615384615384,0.6409682392846129,16.366666666666667,2.333333333333333,5.433333333333334,31
4.0,1102,2017,Reg,10,17,27,0.3703703703703704,70.44444444444444,68.1111111111111,-2.3333333333333286,0.21428571428571427,-1.5608465608465607,-0.10962962962962963,0.6678795354096002,15.037037037037035,1.8148148148148149,3.6666666666666665,32
3.0,1102,2018,Reg,10,18,28,0.35714285714285715,75.10714285714286,69.25,-5.857142857142861,0.375,0.1785714285714285,-0.04285714285714287,0.6790471785383905,14.142857142857142,2.142857142857143,3.9642857142857135,33
1.0,1102,2019,Reg,13,21,34,0.38235294117647056,74.5,71.29411764705883,-3.205882352941174,0.4375,0.5514705882352944,0.011982570806100212,0.6990912553735649,13.588235294117649,1.5588235294117647,4.088235294117647,34
2.0,1103,1985,Reg,9,19,28,0.32142857142857145,71.35714285714286,64.28571428571429,-7.0714285714285685,0.2727272727272727,-0.4870129870129874,-0.0357142857142857,0.6303687062243954,0.0,0.0,0.0,0
6.0,1103,1986,Reg,18,18,36,0.5,70.27777777777777,67.1388888888889,-3.1388888888888857,0.25,-2.5,0.11764705882352945,0.6583461815191695,0.0,0.0,0.0,1
5.0,1103,1987,Reg,18,14,32,0.5625,66.34375,69.1875,2.84375,0.4166666666666667,-1.458333333333333,0.2410714285714285,0.6784343200740056,0.0,0.0,0.0,2
2.0,1103,1988,Reg,18,3,21,0.8571428571428571,65.6190476190476,79.33333333333333,13.714285714285708,0.2857142857142857,-5.7142857142857135,0.3571428571428571,0.7779216774591428,0.0,0.0,0.0,3
1.0,1103,1989,Reg,21,12,33,0.6363636363636364,70.24242424242425,81.42424242424242,11.181818181818173,0.16666666666666666,-4.696969696969697,0.07386363636363635,0.7984245788131079,0.0,0.0,0.0,4
1.0,1103,1990,Reg,14,8,22,0.6363636363636364,67.22727272727273,72.45454545454545,5.2272727272727195,0.09090909090909093,-5.454545454545454,-0.22077922077922074,0.7104701034395762,0.0,0.0,0.0,5
1.0,1103,1991,Reg,14,7,21,0.6666666666666666,68.95238095238095,73.19047619047619,4.238095238095241,0.1,-5.666666666666666,0.03030303030303028,0.7176864455310339,0.0,0.0,0.0,6
2.0,1103,1992,Reg,15,7,22,0.6818181818181818,70.27272727272727,73.63636363636364,3.363636363636373,0.2,-4.8181818181818175,0.045454545454545414,0.7220586998570349,0.0,0.0,0.0,7
3.0,1103,1993,Reg,6,12,18,0.3333333333333333,73.5,67.72222222222223,-5.777777777777772,0.375,0.4166666666666669,-0.3333333333333333,0.664066193853428,0.0,0.0,0.0,8
1.0,1103,1994,Reg,7,13,20,0.35,67.1,63.45,-3.6499999999999915,0.4444444444444444,0.9444444444444444,-0.3318181818181818,0.6221739130434784,0.0,0.0,0.0,9
1.0,1103,1995,Reg,7,12,19,0.3684210526315789,69.47368421052633,64.73684210526315,-4.73684210526315,0.35294117647058826,-0.1547987616099067,0.03508771929824561,0.6347923462680755,0.0,0.0,0.0,10
2.0,1103,1996,Reg,2,18,20,0.1,68.7,61.05,-7.650000000000006,0.25,1.5,-0.25,0.5986401480111009,0.0,0.0,0.0,11
1.0,1103,1997,Reg,7,18,25,0.28,69.52,65.6,-3.9200000000000017,0.21428571428571427,-0.6571428571428575,-0.0884210526315789,0.6432562442183164,0.0,0.0,0.0,12
2.0,1103,1998,Reg,16,18,34,0.4705882352941176,66.61764705882354,65.61764705882354,-1.0,0.3636363636363637,-1.06951871657754,0.3705882352941177,0.6434292866082605,0.0,0.0,0.0,13
