Victoires_MM,TeamID,Season,Nombre_victoires,Nombre_défaites,Nombre_matchs,Pourcentage_Victoire,Buts_moyens_encaissés,Buts_moyens_marqués,Moyenne_diff_score,Pourcentage_V_terrain_adverse,Mental,Evolution_2_Last_years,Qualité_défense,Fools,Blocks,Steals,Ancienneté
2.0,1101,2014,2,19,21,0.09523809523809523,78.61904761904762,63.142857142857146,-15.476190476190474,0.06666666666666667,-0.028571428571428567,0.05,0.20547626795592952,4.190476190476191,0.3333333333333333,1.7619047619047619,0
2.0,1101,2015,7,21,28,0.25,71.85714285714286,61.0,-10.857142857142861,0.125,-0.125,0.05,0.198503091441588,9.607142857142858,1.1071428571428572,3.0,1
2.0,1101,2016,9,18,27,0.3333333333333333,76.25925925925925,69.85185185185185,-6.407407407407405,0.25,-0.08333333333333331,0.23809523809523808,0.22730833664774436,15.37037037037037,1.962962962962963,4.444444444444445,2
2.0,1101,2017,9,16,25,0.36,72.64,67.88,-4.760000000000005,0.35294117647058826,-0.0070588235294117285,0.10999999999999999,0.2208916368369671,15.36,1.88,4.72,3
2.0,1101,2018,12,15,27,0.4444444444444444,72.81481481481481,70.66666666666667,-2.148148148148138,0.5555555555555556,0.11111111111111116,0.1111111111111111,0.22995986549517303,16.666666666666668,3.7037037037037037,5.074074074074074,4
1.0,1101,2019,23,6,29,0.7931034482758621,64.89655172413794,71.72413793103448,6.827586206896541,0.42857142857142855,-0.36453201970443355,0.4331034482758621,0.23340103459497064,29.275862068965516,4.517241379310345,10.137931034482758,5
1.0,1102,1985,5,19,24,0.20833333333333334,66.5,66.79166666666667,0.2916666666666714,0.4444444444444444,0.23611111111111108,-0.23611111111111108,0.21735003796507213,18.166666666666668,1.875,6.625,0
1.0,1102,1986,6,19,25,0.24,56.48,67.4,10.920000000000009,0.4444444444444444,0.20444444444444443,-0.5531034482758621,0.21932964529775464,31.0,3.48,10.56,1
1.0,1102,1987,8,15,23,0.34782608695652173,69.52173913043478,77.21739130434783,7.695652173913047,0.4,0.05217391304347829,0.1394927536231884,0.25127689978635803,23.869565217391305,2.608695652173913,10.434782608695652,2
3.0,1102,1988,7,17,24,0.2916666666666667,63.666666666666664,74.08333333333333,10.416666666666664,0.5454545454545454,0.25378787878787873,0.051666666666666694,0.24107820804859525,27.833333333333332,4.291666666666667,10.958333333333334,3
1.0,1102,1989,10,14,24,0.4166666666666667,71.125,85.625,14.5,0.375,-0.041666666666666685,0.06884057971014496,0.27863651155222907,30.791666666666668,4.375,10.0,4
1.0,1102,1990,9,19,28,0.32142857142857145,57.32142857142857,57.57142857142857,0.25,0.125,-0.19642857142857145,0.029761904761904767,0.18734600901864162,18.25,2.2142857142857144,6.0,5
4.0,1102,1991,5,20,25,0.2,72.28,66.6,-5.680000000000007,0.25,0.04999999999999999,-0.21666666666666667,0.21672632606573378,11.48,1.68,4.48,6
2.0,1102,1992,5,20,25,0.2,73.04,64.52,-8.52000000000001,0.16666666666666666,-0.033333333333333354,-0.12142857142857144,0.20995769606247963,10.92,1.68,3.48,7
1.0,1102,1993,5,19,24,0.20833333333333334,75.58333333333333,74.95833333333333,-0.625,0.23076923076923078,0.02243589743589744,0.008333333333333331,0.24392558845861806,19.916666666666668,3.7083333333333335,7.166666666666667,8
2.0,1102,1994,4,18,22,0.18181818181818182,77.63636363636364,74.45454545454545,-3.181818181818187,0.3,0.11818181818181817,-0.018181818181818188,0.24228618761648374,16.90909090909091,2.8181818181818183,6.954545454545454,9
4.0,1102,1995,5,19,24,0.20833333333333334,79.83333333333333,80.41666666666667,0.5833333333333428,0.09090909090909091,-0.11742424242424243,0.0,0.26168781863542684,20.583333333333332,3.25,7.875,10
2.0,1102,1996,2,22,24,0.08333333333333333,82.08333333333333,75.33333333333333,-6.75,0.2,0.11666666666666668,-0.0984848484848485,0.2451458943486278,15.916666666666666,3.1666666666666665,5.708333333333333,11
6.0,1102,1997,4,18,22,0.18181818181818182,86.81818181818181,85.31818181818181,-1.5,0.21428571428571427,0.03246753246753245,-0.02651515151515152,0.2776380794604029,19.09090909090909,3.0,6.2727272727272725,12
3.0,1102,1998,5,16,21,0.23809523809523808,105.14285714285714,96.33333333333333,-8.80952380952381,0.2,-0.03809523809523807,0.15476190476190477,0.3134830241891745,23.38095238095238,3.3333333333333335,7.761904761904762,13
1.0,1102,1999,7,16,23,0.30434782608695654,101.91304347826087,96.43478260869566,-5.478260869565219,0.26666666666666666,-0.03768115942028988,0.12252964426877472,0.3138131552512062,17.652173913043477,2.130434782608696,4.304347826086956,14
5.0,1102,2000,6,20,26,0.23076923076923078,81.11538461538461,74.38461538461539,-6.730769230769226,0.2857142857142857,0.054945054945054916,-0.0073260073260073,0.24205862474655185,15.23076923076923,2.3076923076923075,4.269230769230769,15
2.0,1102,2001,8,21,29,0.27586206896551724,76.86206896551724,72.03448275862068,-4.827586206896555,0.35714285714285715,0.08128078817733991,-0.028485757121439303,0.2344109429177373,15.931034482758621,1.8275862068965518,4.793103448275862,16
3.0,1102,2002,9,19,28,0.32142857142857145,75.35714285714286,75.96428571428571,0.607142857142847,0.4,0.07857142857142857,0.09065934065934067,0.24719910743340615,21.142857142857142,2.0,6.392857142857143,17
3.0,1102,2003,12,16,28,0.42857142857142855,72.14285714285714,71.75,-0.3928571428571388,0.47619047619047616,0.047619047619047616,0.1527093596059113,0.23348519362186787,18.357142857142858,2.5,6.857142857142857,18
1.0,1102,2004,22,7,29,0.7586206896551724,63.96551724137931,69.13793103448276,5.172413793103452,0.42857142857142855,-0.33004926108374383,0.4371921182266009,0.22498513190524816,23.620689655172413,3.9655172413793105,8.137931034482758,19
2.0,1102,2005,17,12,29,0.5862068965517241,68.41379310344827,73.93103448275862,5.517241379310349,0.5333333333333333,-0.05287356321839076,0.15763546798029554,0.2405826048902005,28.03448275862069,3.7586206896551726,8.137931034482758,20
3.0,1102,2006,22,7,29,0.7586206896551724,68.24137931034483,82.34482758620689,14.103448275862064,0.6363636363636364,-0.12225705329153602,0.0,0.2679623416407644,31.275862068965516,5.931034482758621,11.689655172413794,21
2.0,1102,2007,22,8,30,0.7333333333333333,70.16666666666667,78.36666666666666,8.199999999999989,0.4444444444444444,-0.28888888888888886,0.1471264367816092,0.25501681310337343,28.8,3.966666666666667,9.2,22
3.0,1102,2008,14,14,28,0.5,73.46428571428571,80.64285714285714,7.178571428571431,0.5,0.0,-0.2586206896551724,0.26242387615638507,31.25,3.607142857142857,11.571428571428571,23
1.0,1102,2009,8,21,29,0.27586206896551724,75.62068965517241,80.82758620689656,5.206896551724142,0.6363636363636364,0.3605015673981191,-0.45747126436781604,0.2630250120627939,30.862068965517242,4.275862068965517,10.448275862068966,24
2.0,1102,2010,8,21,29,0.27586206896551724,77.75862068965517,82.03448275862068,4.275862068965509,0.4,0.12413793103448278,-0.22413793103448276,0.2669524333179977,29.137931034482758,4.310344827586207,9.827586206896552,25
1.0,1102,2011,14,14,28,0.5,75.0,81.67857142857143,6.678571428571431,0.2222222222222222,-0.2777777777777778,0.22413793103448276,0.2657942448049835,27.178571428571427,5.428571428571429,9.607142857142858,26
1.0,1102,2012,11,16,27,0.4074074074074074,71.48148148148148,82.5925925925926,11.111111111111114,0.6,0.1925925925925926,0.13154533844189015,0.2687686058984464,33.888888888888886,7.518518518518518,13.25925925925926,27
1.0,1102,2013,15,13,28,0.5357142857142857,77.82142857142857,80.03571428571429,2.2142857142857224,0.5,-0.0357142857142857,0.0357142857142857,0.26044814281065504,28.464285714285715,5.964285714285714,9.928571428571429,28
1.0,1102,2014,10,18,28,0.35714285714285715,76.78571428571429,81.78571428571429,5.0,0.18181818181818182,-0.17532467532467533,-0.050264550264550234,0.2661429036307006,25.821428571428573,4.892857142857143,9.428571428571429,29
1.0,1102,2015,12,17,29,0.41379310344827586,78.58620689655173,86.86206896551724,8.275862068965509,0.125,-0.28879310344827586,-0.12192118226600984,0.282662118338813,30.896551724137932,5.551724137931035,9.310344827586206,30
